Comments,Label
A good and simple introduction to the Data Science field.,1
A lot of speaking without any sense. Skip it at all cost,0
A very good balance between practice and theory,1
absolutely fantastic!,1
Amazing course. Smooth learning experience yet with increasing difficulty. Challenging and addictive.,1
Amazing course. Very interesting to learn about.,1
"As all your coursers, great! I have learnt a lot!",1
Audio is terrible - can't continue,0
Awesome lectures...Great...Explanation...,1
Can't finish even week 1 if you don't pay,0
"Challenging, but very informative!",1
Course Project is way outside of what was taught in class.,0
disappointing,0
"Easiest accounting common sense. If you ever took acct , this will be a wasting of time.",0
Easy but really complicate to submit the assignment.,0
Enjoyed every minute. Very educative. Thank you.,1
"Excellent course, very high quality presen",1
Exciting. It is clear and informative.,1
"Extremely badly organized, messy, and technical",0
"Feels a bit rushed, but overall it's great and challenging.",1
Filled with useful information about practical tools.,1
great course for introduction to IoT with hand-on experiences.,1
Great Learning,1
Great learning experience .,1
Great teacher!,1
I am dropping this course. don't e-mail any more for this course. How do I unroll in this course.,0
I am glad to get a good start through coursera's Data Scientist Toolbox.,1
I am very happy that courses like this are now online.I thank Coursera team to facilitate the course.,1
I can't even access the site.,0
I get many opportunity according to this course,1
I just love the way you develop each subjet!,1
I realy Love this course! thank you so much.,1
Inaccuracies and low level of engagement.,0
Instructor was boring,0
It is very easy and unusefull course.,0
It is very old technique of teaching,0
It was too advanced for me,0
"It's almost desk work, not practical.",0
It's good for learning the basics. I'm a true beginner so it's perfect for me.,1
It's not a course... this is a very short general introduction to 3D Printing,0
Just great information and technique learned in this class.,1
Limited in scope but very good for the time/topics it covers.,1
Made it easy for understanding.,1
Not at all what I expeted,0
Not enough material to understand the concepts.,0
Not happy with this course.,0
Not professional at all!,0
Not recommend. Very basic and videos are only 2 - 3 minutes.,0
Not very good nor scientific,0
Not very useful.,0
Not well presented at all. Great disappointment.,0
Not worth your time or money.,0
Nothing good in this course,0
One word....Fantastic,1
Only one week. Not much depth.,0
poor design on presentation assignment,0
"Poor visual aids, course content and format.",0
Promising one!!!,1
really good organized!,1
Thank you all so much! Really useful course and beginner-friendly journey! Hope to take more classes from your university!,1
Thank you for the great course!,1
Thank you very much. I learned a lot in this course. I recommend it!,1
thanks so much,1
The course is very superficial in nature and there is no difficulty...,0
The instructor was terrible. Very dull,0
The professor is very good. He explains very complex mathematical concepts very clearly and simply,1
the video is too long,0
This course doesn't contain any new information. It does not teach you but just excitedly shows commonly known facts.There are better ways to invest your time.,0
This course is missing content but it is still very interesting to work on the exercises provided.,1
This course is not relevant in the real world.,0
This course is too short and have little real time example .,0
This is not for beginners at all.,0
too hard in practice,0
Too hard to listen his English,0
too many theory and too boring,0
Unprecedented high speaking speed.,0
very bad course,0
very bad course,0
very bad demonstration,0
Very bad explanation too boring lectures,0
Very boring,0
Very boring... The professor is just reading (with a bad English). The illustrations are also very boring...,0
Very comprehensive and suitable for a beginner,1
Very cooperative honest,1
very good and up to date. This is one of the best courses I ever taken. Thank you so much,1
very good for basic fundamentals,1
Very good intro course. Highly recommended!,1
Very good lessons to learn,1
Very Informative,1
"Very interesting, great information and incredible explanations.",1
very low quality and not practical,0
Very motivating and easy to follow. I enjoyed every lesson of the course.,1
very nice explanations .....thanq somuch,1
Very poor explanation and very complicated topics.,0
Very poor in all aspects.,0
Very poor in all aspects.,0
Very very good course!,1
Video's have no sound,0
waste of time and money,0
"Well planned, relevant and fantastic course instructor!",1
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",
Good marks distribution Students can easily check there performance throught the semester,
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",
exam pattern and marks distribution is very well procedure,
Examination pattern is good but marks distribution very confusing,
fair marking scheme and adaptable pattern,
Very Tough,
exam  pattern is very good but if you give question papers to students it is helpful ,
content of courses are average,
All courses material provide very good knowledge in depth .,
This semester university has provide best teachers ,
"Knowledge,depth of course is good but course material are not upto the mark",
Material of the course is not good enough ,
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",
content of the courses are update and mostly based on current technology.,
Teachers are not giving depth of course . They trying to cover there work only .,
Satisfied,
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,
Courses are very good and useful ,
content is good enough,
Accurate,
well planned,
the material provided is beneficial and provides much knowledge,
content is very knowledgable and gives us huge knowledge of every subject,
good quallity content but some teachers donot upload ppts on time,
some courses are irrelevant as they are not related to my stream.,
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,
not too bad,
depth of course is less on the other hand knowledge and material is good,
sometime it is irrelevent with the ongoing courses.,
some of them are very helpful and knowledgeable and some are just formality,
"very knowledgeable, some subjects do not have dedicated material like books available",
it is not appropriate,
"Good, but there should be at least one a practical subject in every semester",
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,
Excellent,
very good and you can also increase the standard of Courses,
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,
the content of the course should be increased with the depth.,
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,
some of the faculty are not uploading ppts,
it is good learning these courses,
content is sufficient for us ,
Some subjects are good and predictable.Remaining courses are not satisfactory,
The depth of course is very much  deep. According to me its very essential,
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",
good,
Pretty Good ,
Is good,
not good enough.. we want something more.,
good,
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,
HAVE TO IMPROVE,
every one can tell depth of course but some one only give notes,
we are getting maximum knowledge ,
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,
HAVE TO IMPROVE,
teacher are punctual but they should also give us the some practical knowledge other than theortical,
Good ,
Excellent lectures are delivered by teachers and all teachers are very punctual.,
Good,
teachers give us all the information required to improve the performance.,
Yes,
good and punctual,
It is good,
Good,
Good,
It's good when compare with my Btech lectures and teaching activities.,
Good,
way of teaching is good,
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",
Good,
Good ,
As compared to other colleges and university our university is perfect in all the aspects,
Good,
Lectures helps in clear our concept,
"not satisfactory, lab work must include latest technologies",
Good ,
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,
Good,
practical work provides detail knowledge of theoretical work,
Yes,
Good,
Everything is going fine in lab . learning new things. That is good for us,
Good,
Good,
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,
Not upto the mark,
lab improves practical knowledge,
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,
Good,
Good,
Practical work is fair,
Good,
